x, y
-1.89873417721519, 1.729264475743349
29.746835443037977, 1.596244131455399
50.63291139240506, 1.1971830985915493
75.31645569620254, 1.3302034428794993
98.73417721518987, 1.0641627543035994
117.08860759493672, 1.1971830985915493
124.05063291139241, 14.632237871674493
131.64556962025318, 30.328638497652584
147.46835443037975, 37.37871674491393
160.126582278481, 41.36932707355243
177.21518987341773, 44.29577464788733
189.873417721519, 45.89201877934273
204.43037974683546, 47.08920187793427
218.98734177215192, 48.153364632237874
234.17721518987344, 48.81846635367762
246.8354430379747, 39.50704225352113
263.29113924050637, 31.65884194053208
278.4810126582279, 29.663536776212833
291.7721518987342, 29.397496087636934
306.9620253164557, 29.530516431924884
321.5189873417722, 29.530516431924884
337.34177215189874, 29.663536776212833
350.6329113924051, 29.796557120500783
366.45569620253167, 29.929577464788732
381.01265822784814, 30.461658841940533
395.5696202531646, 30.727699530516432
404.43037974683546, 30.993740219092334
