x, y
-1.21580547112462, 0.5438066465256797
25.53191489361702, 0.5551359516616314
48.02431610942249, 0.5664652567975831
74.16413373860182, 0.5551359516616314
100.91185410334346, 0.532477341389728
108.81458966565349, 0.5777945619335347
122.1884498480243, 1.0876132930513593
130.09118541033433, 3.6253776435045317
136.17021276595744, 5.709969788519637
151.3677811550152, 4.837613293051359
165.34954407294833, 4.361782477341389
179.93920972644375, 4.112537764350453
194.5288753799392, 3.919939577039275
209.11854103343464, 3.738670694864048
224.3161094224924, 3.6253776435045317
238.90577507598783, 3.4894259818731115
254.7112462006079, 3.364803625377643
267.4772036474164, 3.27416918429003
282.06686930091183, 3.126888217522658
298.4802431610942, 3.047583081570997
312.46200607902733, 2.9229607250755287
327.0516717325228, 2.8209969788519635
341.6413373860182, 2.741691842900302
356.23100303951367, 2.6510574018126887
370.8206686930091, 2.571752265861027
384.8024316109422, 2.503776435045317
402.4316109422492, 2.4244712990936557
