x, y
-1.28, 213.07272727272726
7.68, 212.8181818181818
21.76, 213.2
35.2, 213.2
51.2, 211.92727272727274
65.28, 212.05454545454546
80.64, 211.92727272727274
94.72, 212.05454545454546
108.8, 211.67272727272726
122.88, 202.76363636363635
137.6, 177.3090909090909
153.6, 173.1090909090909
166.4, 172.72727272727272
181.76, 172.85454545454544
195.84, 172.6
211.84, 172.85454545454544
224.64000000000001, 172.98181818181817
240.64000000000001, 180.61818181818182
255.36, 212.3090909090909
269.44, 213.83636363636361
284.8, 214.0909090909091
299.52, 214.21818181818182
312.96, 214.47272727272727
327.68, 213.96363636363637
343.68, 213.83636363636361
357.76, 213.96363636363637
373.12, 213.83636363636361
386.56, 213.96363636363637
402.56, 213.96363636363637
