x, y
149.78962131837307, 154.54545454545453
165.49789621318374, 168.53146853146853
180.08415147265077, 179.72027972027973
195.23141654978963, 190.9090909090909
208.69565217391303, 204.8951048951049
222.15988779803646, 199.3006993006993
236.7461430575035, 200.6993006993007
253.01542776998596, 216.08391608391608
268.16269284712484, 248.25174825174824
282.74894810659185, 283.2167832167832
297.3352033660589, 298.6013986013986
313.04347826086956, 336.3636363636364
327.6297335203366, 350.34965034965035
341.09396914446, 361.53846153846155
356.8022440392707, 386.7132867132867
370.2664796633941, 393.7062937062937
385.9747545582048, 409.09090909090907
400, 414.68531468531467
