x, y
149.78962131837307, 165.73426573426573
166.05890603085552, 176.9230769230769
180.08415147265077, 189.5104895104895
194.6704067321178, 197.9020979020979
209.81767180925667, 203.4965034965035
223.28190743338007, 204.8951048951049
237.30715287517532, 210.48951048951048
253.01542776998596, 319.5804195804196
267.601683029453, 618.8811188811188
282.74894810659185, 711.1888111888112
299.01823281907434, 733.5664335664335
311.92145862552593, 732.1678321678321
326.507713884993, 727.972027972028
340.5329593267882, 730.7692307692307
356.24123422159886, 733.5664335664335
370.8274894810659, 725.1748251748252
385.41374474053293, 732.1678321678321
400, 729.3706293706293
